List generated on 03-23-2025 for Windows 11 24H2 Ent x64.
List all apps: Get-AppxPackage -allusers | Select Name, PackageFullName

Name                                           PackageFullName
Microsoft.WindowsAppRuntime.1.3                Microsoft.WindowsAppRuntime.1.3_3000.934.1904.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.2.2               Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.2.2             Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00.UWPDesktop             Microsoft.VCLibs.140.00.UWPDesktop_14.0.30704.0_x64__8wekyb3d8bbwe
Microsoft.UI.Xaml.2.8                          Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00                        Microsoft.VCLibs.140.00_14.0.30704.0_x64__8wekyb3d8bbwe
Clipchamp.Clipchamp                            Clipchamp.Clipchamp_3.0.10220.0_neutral__yxz26nhyzhsrt
Microsoft.ApplicationCompatibilityEnhancements Microsoft.ApplicationCompatibilityEnhancements_1.2401.10.0_x64__8weky...
Microsoft.AV1VideoExtension                    Microsoft.AV1VideoExtension_1.1.61781.0_x64__8wekyb3d8bbwe
Microsoft.AVCEncoderVideoExtension             Microsoft.AVCEncoderVideoExtension_1.0.271.0_x64__8wekyb3d8bbwe
Microsoft.BingNews                             Microsoft.BingNews_1.0.2.0_x64__8wekyb3d8bbwe
Microsoft.BingSearch                           Microsoft.BingSearch_1.0.79.0_x64__8wekyb3d8bbwe
Microsoft.BingWeather                          Microsoft.BingWeather_3.2.9.0_x64__8wekyb3d8bbwe
Microsoft.DesktopAppInstaller                  Microsoft.DesktopAppInstaller_1.21.10120.0_x64__8wekyb3d8bbwe
Microsoft.GamingApp                            Microsoft.GamingApp_2402.900.28.0_x64__8wekyb3d8bbwe
Microsoft.GetHelp                              Microsoft.GetHelp_10.2302.10601.0_x64__8wekyb3d8bbwe
Microsoft.HEIFImageExtension                   Microsoft.HEIFImageExtension_1.0.63001.0_x64__8wekyb3d8bbwe
Microsoft.HEVCVideoExtension                   Microsoft.HEVCVideoExtension_2.0.61931.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftOfficeHub                   Microsoft.MicrosoftOfficeHub_18.2308.1034.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftSolitaireCollection         Microsoft.MicrosoftSolitaireCollection_4.19.3190.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftStickyNotes                 Microsoft.MicrosoftStickyNotes_4.0.4602.0_x64__8wekyb3d8bbwe
Microsoft.MPEG2VideoExtension                  Microsoft.MPEG2VideoExtension_1.0.61931.0_x64__8wekyb3d8bbwe
Microsoft.OutlookForWindows                    Microsoft.OutlookForWindows_1.0.0.0_neutral__8wekyb3d8bbwe
Microsoft.Paint                                Microsoft.Paint_11.2302.20.0_x64__8wekyb3d8bbwe
Microsoft.PowerAutomateDesktop                 Microsoft.PowerAutomateDesktop_1.0.1080.0_x64__8wekyb3d8bbwe
Microsoft.RawImageExtension                    Microsoft.RawImageExtension_2.3.171.0_x64__8wekyb3d8bbwe
Microsoft.ScreenSketch                         Microsoft.ScreenSketch_11.2307.52.0_x64__8wekyb3d8bbwe
Microsoft.SecHealthUI                          Microsoft.SecHealthUI_1000.26100.1.0_x64__8wekyb3d8bbwe
Microsoft.StorePurchaseApp                     Microsoft.StorePurchaseApp_22312.1400.6.0_x64__8wekyb3d8bbwe
Microsoft.Todos                                Microsoft.Todos_0.104.62421.0_x64__8wekyb3d8bbwe
Microsoft.VP9VideoExtensions                   Microsoft.VP9VideoExtensions_1.1.451.0_x64__8wekyb3d8bbwe
Microsoft.WebMediaExtensions                   Microsoft.WebMediaExtensions_1.0.62931.0_x64__8wekyb3d8bbwe
Microsoft.WebpImageExtension                   Microsoft.WebpImageExtension_1.0.62681.0_x64__8wekyb3d8bbwe
Microsoft.Windows.DevHome                      Microsoft.Windows.DevHome_0.0.0.0_x64__8wekyb3d8bbwe
Microsoft.Windows.Photos                       Microsoft.Windows.Photos_24.24010.29003.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAlarms                        Microsoft.WindowsAlarms_1.0.188.0_x64__8wekyb3d8bbwe
Microsoft.WindowsCalculator                    Microsoft.WindowsCalculator_11.2311.0.0_x64__8wekyb3d8bbwe
Microsoft.WindowsCamera                        Microsoft.WindowsCamera_2023.2312.3.0_x64__8wekyb3d8bbwe
Microsoft.WindowsFeedbackHub                   Microsoft.WindowsFeedbackHub_1.2401.20253.0_x64__8wekyb3d8bbwe
Microsoft.WindowsNotepad                       Microsoft.WindowsNotepad_11.2312.18.0_x64__8wekyb3d8bbwe
Microsoft.WindowsSoundRecorder                 Microsoft.WindowsSoundRecorder_1.0.76.0_x64__8wekyb3d8bbwe
Microsoft.WindowsStore                         Microsoft.WindowsStore_22401.1400.6.0_x64__8wekyb3d8bbwe
Microsoft.WindowsTerminal                      Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe
Microsoft.Xbox.TCUI                            Microsoft.Xbox.TCUI_1.23.28005.0_x64__8wekyb3d8bbwe
Microsoft.XboxGamingOverlay                    Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe
Microsoft.XboxIdentityProvider                 Microsoft.XboxIdentityProvider_12.110.15002.0_x64__8wekyb3d8bbwe
Microsoft.XboxSpeechToTextOverlay              Microsoft.XboxSpeechToTextOverlay_1.97.17002.0_x64__8wekyb3d8bbwe
Microsoft.YourPhone                            Microsoft.YourPhone_0.24012.105.0_x64__8wekyb3d8bbwe
Microsoft.ZuneMusic                            Microsoft.ZuneMusic_11.2312.8.0_x64__8wekyb3d8bbwe
MicrosoftCorporationII.QuickAssist             MicrosoftCorporationII.QuickAssist_2.0.29.0_x64__8wekyb3d8bbwe
MicrosoftWindows.Client.WebExperience          MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy
MicrosoftWindows.CrossDevice                   MicrosoftWindows.CrossDevice_0.23101.22.0_x64__cw5n1h2txyewy
MSTeams                                        MSTeams_1.0.0.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftEdge.Stable                 Microsoft.MicrosoftEdge.Stable_134.0.3124.72_neutral__8wekyb3d8bbwe
Microsoft.Copilot                              Microsoft.Copilot_0.4.2.0_neutral__8wekyb3d8bbwe 
