List generated on 03-20-2025 for Windows 10 22H2 Ent x64.
List all apps: Get-AppxPackage -allusers | Select Name, PackageFullName

Name                                        PackageFullName
Microsoft.NET.Native.Framework.1.7          Microsoft.NET.Native.Framework.1.7_1.7.25531.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00                     Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe
Microsoft.VCLibs.140.00                     Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00.UWPDesktop          Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00.UWPDesktop          Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.2.2            Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.2.2            Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.2.2          Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.2.2          Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe
Microsoft.Advertising.Xaml                  Microsoft.Advertising.Xaml_10.1808.3.0_x64__8wekyb3d8bbwe
Microsoft.BingWeather                       Microsoft.BingWeather_4.25.20211.0_x64__8wekyb3d8bbwe
Microsoft.DesktopAppInstaller               Microsoft.DesktopAppInstaller_1.0.30251.0_x64__8wekyb3d8bbwe
Microsoft.GetHelp                           Microsoft.GetHelp_10.2409.22951.0_x64__8wekyb3d8bbwe
Microsoft.Getstarted                        Microsoft.Getstarted_10.2312.1.0_x64__8wekyb3d8bbwe
Microsoft.HEIFImageExtension                Microsoft.HEIFImageExtension_1.2.3.0_x64__8wekyb3d8bbwe
Microsoft.Microsoft3DViewer                 Microsoft.Microsoft3DViewer_6.1908.2042.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftOfficeHub                Microsoft.MicrosoftOfficeHub_18.1903.1152.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftSolitaireCollection      Microsoft.MicrosoftSolitaireCollection_4.4.8204.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftStickyNotes              Microsoft.MicrosoftStickyNotes_3.6.73.0_x64__8wekyb3d8bbwe
Microsoft.MixedReality.Portal               Microsoft.MixedReality.Portal_2000.21051.1282.0_x64__8wekyb3d8bbwe
Microsoft.MSPaint                           Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe
Microsoft.Office.OneNote                    Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe
Microsoft.People                            Microsoft.People_10.1902.633.0_x64__8wekyb3d8bbwe
Microsoft.ScreenSketch                      Microsoft.ScreenSketch_10.1907.2471.0_x64__8wekyb3d8bbwe
Microsoft.SkypeApp                          Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c
Microsoft.StorePurchaseApp                  Microsoft.StorePurchaseApp_22411.1401.1.0_x64__8wekyb3d8bbwe
Microsoft.VP9VideoExtensions                Microsoft.VP9VideoExtensions_1.2.2.0_x64__8wekyb3d8bbwe
Microsoft.Wallet                            Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe
Microsoft.WebMediaExtensions                Microsoft.WebMediaExtensions_1.1.1295.0_x64__8wekyb3d8bbwe
Microsoft.WebpImageExtension                Microsoft.WebpImageExtension_1.0.22753.0_x64__8wekyb3d8bbwe
Microsoft.WebpImageExtension                Microsoft.WebpImageExtension_1.1.1711.0_x64__8wekyb3d8bbwe
Microsoft.Windows.Photos                    Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe
Microsoft.Windows.Photos                    Microsoft.Windows.Photos_2025.11020.11001.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAlarms                     Microsoft.WindowsAlarms_10.1906.2182.0_x64__8wekyb3d8bbwe
Microsoft.WindowsCalculator                 Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe
Microsoft.WindowsCamera                     Microsoft.WindowsCamera_2018.826.98.0_x64__8wekyb3d8bbwe
microsoft.windowscommunicationsapps         microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe
Microsoft.WindowsFeedbackHub                Microsoft.WindowsFeedbackHub_1.1907.3152.0_x64__8wekyb3d8bbwe
Microsoft.WindowsMaps                       Microsoft.WindowsMaps_5.1906.1972.0_x64__8wekyb3d8bbwe
Microsoft.WindowsSoundRecorder              Microsoft.WindowsSoundRecorder_10.1906.1972.0_x64__8wekyb3d8bbwe
Microsoft.WindowsStore                      Microsoft.WindowsStore_11910.1002.5.0_x64__8wekyb3d8bbwe
Microsoft.Xbox.TCUI                         Microsoft.Xbox.TCUI_1.23.28002.0_x64__8wekyb3d8bbwe
Microsoft.XboxApp                           Microsoft.XboxApp_48.49.31001.0_x64__8wekyb3d8bbwe
Microsoft.XboxGameOverlay                   Microsoft.XboxGameOverlay_1.46.11001.0_x64__8wekyb3d8bbwe
Microsoft.XboxGamingOverlay                 Microsoft.XboxGamingOverlay_2.34.28001.0_x64__8wekyb3d8bbwe
Microsoft.XboxIdentityProvider              Microsoft.XboxIdentityProvider_12.50.6001.0_x64__8wekyb3d8bbwe
Microsoft.XboxSpeechToTextOverlay           Microsoft.XboxSpeechToTextOverlay_1.17.29001.0_x64__8wekyb3d8bbwe
Microsoft.YourPhone                         Microsoft.YourPhone_0.19051.7.0_x64__8wekyb3d8bbwe
Microsoft.ZuneMusic                         Microsoft.ZuneMusic_10.19071.19011.0_x64__8wekyb3d8bbwe
Microsoft.ZuneVideo                         Microsoft.ZuneVideo_10.19071.19011.0_x64__8wekyb3d8bbwe
Microsoft.Copilot                           Microsoft.Copilot_0.4.2.0_neutral__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.5             Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.5             Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe
Microsoft.Windows.DevHome                   Microsoft.Windows.DevHome_0.2000.758.0_x64__8wekyb3d8bbwe
Microsoft.UI.Xaml.2.8                       Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe
Microsoft.UI.Xaml.2.8                       Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.4             Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.4             Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x86__8wekyb3d8bbwe                        
