List generated on 03-18-2026 for Windows 11 25H2 Ent x64.
List all apps: Get-AppxPackage -allusers | Select Name, PackageFullName

Name                                           PackageFullName
Microsoft.XboxSpeechToTextOverlay              Microsoft.XboxSpeechToTextOverlay_1.123.11001.0_x64__8wekyb3d8bbwe
MicrosoftCorporationII.QuickAssist             MicrosoftCorporationII.QuickAssist_2.0.43.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.2                  Microsoft.WindowsAppRuntime.2_2.3.1.0_x64__8wekyb3d8bbwe
Microsoft.OutlookForWindows                    Microsoft.OutlookForWindows_1.2026.728.100_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.2.2             Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.2.2               Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe
Microsoft.VCLibs.140.00                        Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe
Microsoft.WindowsAlarms                        Microsoft.WindowsAlarms_11.2606.11.0_x64__8wekyb3d8bbwe
Microsoft.UI.Xaml.2.8                          Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe
Microsoft.VCLibs.140.00.UWPDesktop             Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb3d8bbwe
Microsoft.GamingApp                            Microsoft.GamingApp_2608.1001.17.0_x64__8wekyb3d8bbwe
Microsoft.XboxGamingOverlay                    Microsoft.XboxGamingOverlay_7.326.6011.0_x64__8wekyb3d8bbwe
Microsoft.BingWeather                          Microsoft.BingWeather_4.54.63045.0_x64__8wekyb3d8bbwe
Microsoft.BingNews                             Microsoft.BingNews_4.56.21872.0_x64__8wekyb3d8bbwe
Microsoft.Todos                                Microsoft.Todos_2.176.7601.0_x64__8wekyb3d8bbwe
Microsoft.YourPhone                            Microsoft.YourPhone_1.26062.145.0_x64__8wekyb3d8bbwe
MSTeams                                        MSTeams_26198.304.4946.9672_x64__8wekyb3d8bbwe
Microsoft.MicrosoftStickyNotes                 Microsoft.MicrosoftStickyNotes_6.1.4.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.110.00.UWPDesktop             Microsoft.VCLibs.110.00.UWPDesktop_11.0.61135.0_x64__8wekyb3d8bbwe
Microsoft.WindowsSoundRecorder                 Microsoft.WindowsSoundRecorder_11.2606.0.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.110.00.UWPDesktop             Microsoft.VCLibs.110.00.UWPDesktop_11.0.61135.0_x86__8wekyb3d8bbwe
Microsoft.DirectXRuntime                       Microsoft.DirectXRuntime_9.29.1974.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.120.00.UWPDesktop             Microsoft.VCLibs.120.00.UWPDesktop_12.0.40653.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.120.00.UWPDesktop             Microsoft.VCLibs.120.00.UWPDesktop_12.0.40653.0_x86__8wekyb3d8bbwe
Microsoft.DirectXRuntime                       Microsoft.DirectXRuntime_9.29.1974.0_x86__8wekyb3d8bbwe
Microsoft.DesktopAppInstaller                  Microsoft.DesktopAppInstaller_1.29.279.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.6                Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.6                Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe
Microsoft.SecHealthUI                          Microsoft.SecHealthUI_1000.29628.1000.0_x64__8wekyb3d8bbwe
MicrosoftWindows.Client.WebExperience          MicrosoftWindows.Client.WebExperience_526.17301.80.0_x64__cw5n1h2txyewy
Microsoft.WindowsAppRuntime.1.7                Microsoft.WindowsAppRuntime.1.7_7000.785.2325.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.7                Microsoft.WindowsAppRuntime.1.7_7000.785.2325.0_x86__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.5                Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe
Microsoft.ScreenSketch                         Microsoft.ScreenSketch_11.2602.49.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.5                Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe
Microsoft.RawImageExtension                    Microsoft.RawImageExtension_2.5.24.0_x64__8wekyb3d8bbwe
Microsoft.WidgetsPlatformRuntime               Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe
Microsoft.PowerAutomateDesktop                 Microsoft.PowerAutomateDesktop_1.0.2117.0_x64__8wekyb3d8bbwe
Microsoft.Xbox.TCUI                            Microsoft.Xbox.TCUI_1.24.10001.0_x64__8wekyb3d8bbwe
Microsoft.VP9VideoExtensions                   Microsoft.VP9VideoExtensions_1.2.20.0_x64__8wekyb3d8bbwe
Microsoft.XboxIdentityProvider                 Microsoft.XboxIdentityProvider_12.130.16001.0_x64__8wekyb3d8bbwe
Microsoft.HEIFImageExtension                   Microsoft.HEIFImageExtension_1.2.36.0_x64__8wekyb3d8bbwe
Microsoft.WebMediaExtensions                   Microsoft.WebMediaExtensions_2.1.38.0_x64__8wekyb3d8bbwe
Microsoft.WindowsCalculator                    Microsoft.WindowsCalculator_11.2606.0.0_x64__8wekyb3d8bbwe
Microsoft.WindowsTerminal                      Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe
