List generated on 03-18-2026 for Windows 11 25H2 Ent x64.
List all apps: Get-AppxPackage -allusers | Select Name, PackageFullName

Name                                           PackageFullName
----                                           ---------------
1527c705-839a-4832-9118-54d4Bd6a0c89           1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutral_neutral_...
c5e2524a-ea46-4f67-841f-6a9465d9d515           c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.26100.1_neutral_neutral_cw5...
E2A4F912-2574-4A75-9BB0-0D023378592B           E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.19640.1000_neutral_neutral_...
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE           F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.26100.1_neutral_neutral_cw5...
Microsoft.AAD.BrokerPlugin                     Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2t...
Microsoft.AccountsControl                      Microsoft.AccountsControl_10.0.26100.1_neutral__cw5n1h2txyewy
Microsoft.AsyncTextService                     Microsoft.AsyncTextService_10.0.26100.1_neutral__8wekyb3d8bbwe
Microsoft.BioEnrollment                        Microsoft.BioEnrollment_10.0.19587.1000_neutral__cw5n1h2txyewy
Microsoft.CredDialogHost                       Microsoft.CredDialogHost_10.0.19595.1001_neutral__cw5n1h2txyewy
Microsoft.ECApp                                Microsoft.ECApp_10.0.26100.4061_neutral__8wekyb3d8bbwe
Microsoft.LockApp                              Microsoft.LockApp_10.0.26100.4202_neutral__cw5n1h2txyewy
Microsoft.MicrosoftEdgeDevToolsClient          Microsoft.MicrosoftEdgeDevToolsClient_1000.25128.1000.0_neutral_neutr...
Microsoft.UI.Xaml.CBS                          Microsoft.UI.Xaml.CBS_9.2504.3002.0_x64__8wekyb3d8bbwe
Microsoft.Win32WebViewHost                     Microsoft.Win32WebViewHost_10.0.26100.1_neutral_neutral_cw5n1h2txyewy
Microsoft.Windows.Apprep.ChxApp                Microsoft.Windows.Apprep.ChxApp_1000.25128.1000.0_neutral_neutral_cw5...
Microsoft.Windows.AssignedAccessLockApp        Microsoft.Windows.AssignedAccessLockApp_1000.25128.1000.0_neutral_neu...
Microsoft.Windows.AugLoop.CBS                  Microsoft.Windows.AugLoop.CBS_1.1126.2131.0_x64__8wekyb3d8bbwe
Microsoft.Windows.CapturePicker                Microsoft.Windows.CapturePicker_10.0.19580.1000_neutral__cw5n1h2txyewy
Microsoft.Windows.CloudExperienceHost          Microsoft.Windows.CloudExperienceHost_10.0.26100.1_neutral_neutral_cw...
Microsoft.Windows.ContentDeliveryManager       Microsoft.Windows.ContentDeliveryManager_10.0.26100.1_neutral_neutral...
Microsoft.Windows.NarratorQuickStart           Microsoft.Windows.NarratorQuickStart_10.0.26100.1_neutral_neutral_8we...
Microsoft.Windows.ParentalControls             Microsoft.Windows.ParentalControls_1000.25128.1000.0_neutral_neutral_...
Microsoft.Windows.PeopleExperienceHost         Microsoft.Windows.PeopleExperienceHost_10.0.26100.1_neutral_neutral_c...
Microsoft.Windows.PinningConfirmationDialog    Microsoft.Windows.PinningConfirmationDialog_1000.25140.1001.0_neutral...
